AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
-26,-371,16518,0,-4,0
-43,-388,16512,1,-4,2
-29,-382,16521,-1,-5,2
-28,-390,16513,2,-3,1
-24,-392,16499,2,-6,2
-25,-380,16527,-1,-5,2
-17,-399,16523,-1,-7,1
-10,-368,16540,0,-3,2
-14,-356,16517,0,-5,2
-25,-376,16524,-1,-6,3
-27,-370,16536,0,-5,2
-24,-375,16533,1,-5,3
-34,-379,16532,-2,-3,0
-27,-370,16552,-1,-5,2
-33,-383,16525,1,-6,2
-31,-389,16517,-1,-4,1
-25,-375,16529,-1,-5,0
-25,-369,16544,1,-7,2
-30,-393,16527,-1,-6,1
-20,-362,16544,0,-5,2
-27,-387,16535,0,-5,2
-9,-384,16541,0,-5,2
-30,-386,16543,-1,-5,-1
-15,-368,16543,0,-6,2
-50,-376,16539,0,-4,2
-30,-374,16539,0,-6,1
-36,-387,16524,0,-6,2
-35,-378,16522,-1,-4,0
-36,-387,16529,1,-5,4
-25,-367,16546,-2,-5,2
-31,-386,16519,0,-6,2
-18,-369,16538,1,-4,1
-20,-368,16535,-1,-5,0
-14,-372,16519,-1,-5,1
-21,-371,16527,1,-5,0
-31,-375,16546,0,-4,1
-7,-361,16518,0,-5,0
-21,-373,16531,0,-5,2
-6,-362,16543,-1,-5,2
-34,-387,16535,0,-4,2
-42,-374,16545,0,-4,3
-17,-371,16547,-1,-4,0
-25,-359,16547,-1,-6,2
-23,-376,16545,0,-5,1
-19,-352,16547,-1,-5,4
-10,-356,16549,0,-6,0
-20,-369,16545,1,-5,3
-27,-368,16550,0,-5,0
-10,-384,16526,-1,-6,2
-40,-386,16532,0,-6,3
-32,-376,16535,-1,-4,2
-4,-357,16533,-2,-5,3
-23,-382,16547,-1,-5,1
-23,-375,16530,1,-5,2
-16,-362,16531,-2,-4,1
-27,-377,16538,-1,-7,2
-33,-382,16522,-2,-6,2
-31,-382,16529,-1,-5,4
-21,-366,16535,-2,-4,1
-20,-369,16529,-1,-5,2
-19,-375,16528,0,-6,2
-37,-382,16534,-2,-4,3
-16,-378,16521,-2,-4,2
-37,-372,16528,0,-5,0
-21,-369,16540,-1,-6,0
-39,-387,16525,0,-4,0
-34,-361,16543,1,-6,3
